DI_ANC SVCS MIDDLE CREEK FAMILY PRACTICE,195
PC_ATHENS MEDICAL GROUP,196
PC_DWK LIFE SCIENCES,198
autoContract - SUMMIT MEDICAL GROUP,199
autoECommerce - SUMMIT MEDICAL GROUP,200
LAB_SMG QUEST,201
LAB_SMG AFTS LAB,202
LAB_SMG BACKFILL,203
HSP_MORNING POINTE ASSISTED LIVING,204
HSP_ATHENS PLACE ASSISTED LIVING,205
HSP_STARR REGIONAL MED CTR - ER,206
HSP_STARR REGIONAL MED CTR - IP,207
HSP_STARR REGIONAL MED CTR - OP,208
HSP_DOMINION SENIOR LIVING OF ATHENS,209
QM_SMG BACKFILL,210
RAD_SMG BACKFILL,211
Yosi Test,212
Summit Life,213
QM_SMG etHIN,214
PC_FAMILY MEDICINE CENTER CLEVELAND,215
HSP_MORNING POINTE ASSISTED LIVING of GREENEVILLE,216
RHEUM_RHEUMATOLOGY ATHENS,218
PC_COOL SPRINGS IMP,219
PC_NORTH FRANKLIN IMP,220
HSP_BRADLEY MEDICAL CENTER - IP,221
HSP_BRADLEY MEDICAL CENTER - OP,222
HSP_BRADLEY MEDICAL CENTER - ER,223
HSP_WILLIAMSON MED CTR FRANKLIN - ER,224
HSP_WILLIAMSON MED CTR FRANKLIN - IP,225
HSP_WILLIAMSON MED CTR FRANKLIN - OP,226
HSP_PATRICIA NEAL REHABILITATION CENTER,227
PC_IMA ETOWAH,228
PED_GOODPEDS,231
HSP_ETOWAH HEALTH CARE CENTER SNF,232
HSP_LIFE CARE CENTER SNF,233
HSP_STARR REGIONAL HEALTH & REHAB SNF,234
HSP_STARR REGIONAL HEALTH & REHAB SNF (ETOWAH),235
HSP_STARR REGIONAL HLTH & REHAB SNR CARE (ETOWAH),236
HSP_VANDERBILT UNIVERSITY MED CTR IP,237
HSP_ASCENTION ST THOMAS HOSPITAL IP,238
HSP_TRISTAR CENTENNIAL MED CTR IP,239
HSP_TRISTAR CENTENNIAL WOMENS HOSPITAL IP,240
PC_SMG COOKEVILLE,241
HSP_NHC HEALTHCARE ATHENS SNF (ETOWAH),242
DI_ANC SVCS ATHENS MEDICAL GROUP,243
PED_SHULTS PEDIATRICS BLOUNT COUNTY,244
HSP_STARR REG HLTH & REHAB SNR CARE PSYCH (ETOWAH),245
HSP_DAVITA ETOWAH DIALYSIS,246
DI_ANC SVCS SEC at POWELL,247
EYE_TEC LENOIR CITY,250
EYE_TEC KNOXVILLE,251
EYE_TEC HARRIMAN,252
EYE_TEC POWELL,253
EYE_TEC MORRISTOWN,254
EYE_TEC @NEWPORT EYECARE CTR,255
EYE_TEC @BLOUNT COUNTY EYE,256
EYE_TEC @GREENEVILLE EYECARE CENTER,257
EYE_TEC @HYDE EYE CARE,258
EYE_TEC @KNOXVILLE EYE CARE CENTER,259
EYE_TEC @ASSOCIATES IN EYECARE,260
EYE_TEC @KEYLON EYECARE,261
EYE_TEC @SURGICAL CTR LC,262
EYE_TEC @SURGICAL CTR MORRISTOWN,263
EYE_TEC @SURGICAL CTR KNOXVILLE,264
PC_GRACE PRIMARY CARE,266
DI_ANC SVCS LENOIR CITY,267
PC_UPPER CUMBERLAND FAMILY PHYSICIANS,268
PC_CHATTANOOGA FAMILY PRACTICE,269
PC_BHAVANA VORA at CROSSVILLE,270
HSP_COOKEVILLE REGIONAL MEDICAL CENTER-IP,271
HSP_SIGNATURE HEALTHCARE OF PUTNAM COUNTY,272
HSP_NHC HEALTHCARE COOKEVILLE SNF,273
HSP_NEWPORT MEDICAL CENTER,274
HSP_ROANE MEDICAL CENTER,275
DI_ANC SVCS MARYVILLE FAMILY MEDICINE,276
HSP_COOKEVILLE REGIONAL MEDICAL CENTER-OP,277
PC_HERMITAGE PRIMARY CARE a division of SMG,278
DI_ANC SVCS GRACE PRIMARY HUNTSVILLE,279
PED_BRENTWOOD CHILDRENS CLINIC,280
DI_ANC SVCS CAMPBELL CO,281
PT_SMG PT MORRISTOWN,282
DI_ANC SVCS NEWPORT,283
DI_ANC SVCS MORRISTOWN,284
