DEPARTMENTID,DepartmentName
215,PC_FAMILY MEDICINE CENTER CLEVELAND
216,HSP_MORNING POINTE ASSISTED LIVING of GREENEVILLE
218,RHEUM_RHEUMATOLOGY ATHENS
219,PC_COOL SPRINGS IMP
220,PC_NORTH FRANKLIN IMP
221,HSP_BRADLEY MEDICAL CENTER - IP
222,HSP_BRADLEY MEDICAL CENTER - OP
223,HSP_BRADLEY MEDICAL CENTER - ER
224,HSP_WILLIAMSON MED CTR FRANKLIN - ER
225,HSP_WILLIAMSON MED CTR FRANKLIN - IP
226,HSP_WILLIAMSON MED CTR FRANKLIN - OP
227,HSP_PATRICIA NEAL REHABILITATION CENTER
228,PC_IMA ETOWAH
231,PED_GOODPEDS
232,HSP_ETOWAH HEALTH CARE CENTER SNF
233,HSP_LIFE CARE CENTER SNF
234,HSP_STARR REGIONAL HEALTH & REHAB SNF
235,HSP_STARR REGIONAL HEALTH & REHAB SNF (ETOWAH)
236,HSP_STARR REGIONAL HLTH & REHAB SNR CARE (ETOWAH)
237,HSP_VANDERBILT UNIVERSITY MED CTR IP
238,HSP_ASCENTION ST THOMAS HOSPITAL IP
239,HSP_TRISTAR CENTENNIAL MED CTR IP
240,HSP_TRISTAR CENTENNIAL WOMENS HOSPITAL IP
241,PC_SMG COOKEVILLE
242,HSP_NHC HEALTHCARE ATHENS SNF (ETOWAH)
243,DI_ANC SVCS ATHENS MEDICAL GROUP
244,PED_SHULTS PEDIATRICS BLOUNT COUNTY
245,HSP_STARR REG HLTH & REHAB SNR CARE PSYCH (ETOWAH)
246,HSP_DAVITA ETOWAH DIALYSIS
247,DI_ANC SVCS SEC at POWELL
250,EYE_TEC LENOIR CITY
251,EYE_TEC KNOXVILLE
252,EYE_TEC HARRIMAN
253,EYE_TEC POWELL
254,EYE_TEC MORRISTOWN
255,EYE_TEC @NEWPORT EYECARE CTR
256,EYE_TEC @BLOUNT COUNTY EYE
257,EYE_TEC @GREENEVILLE EYECARE CENTER
258,EYE_TEC @HYDE EYE CARE
259,EYE_TEC @KNOXVILLE EYE CARE CENTER
260,EYE_TEC @ASSOCIATES IN EYECARE
261,EYE_TEC @KEYLON EYECARE
262,EYE_TEC @SURGICAL CTR LC
263,EYE_TEC @SURGICAL CTR MORRISTOWN
264,EYE_TEC @SURGICAL CTR KNOXVILLE
266,PC_GRACE PRIMARY CARE
267,DI_ANC SVCS LENOIR CITY
268,PC_UPPER CUMBERLAND FAMILY PHYSICIANS
269,PC_CHATTANOOGA FAMILY PRACTICE
270,PC_BHAVANA VORA at CROSSVILLE
271,HSP_COOKEVILLE REGIONAL MEDICAL CENTER-IP
